,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8326152787626294,913,0,45651
1,Run_2,0.8316039038014972,1126,0,56270
2,Run_3,0.8395904941820078,1331,0,66551
3,Run_4,0.8404048386737852,1306,0,65301
4,Run_5,0.8200986716080658,845,0,42251
5,Run_6,0.8382585537747032,1225,0,61251
6,Run_7,0.8235910306630172,1042,0,52101
7,Run_8,0.8280486946731406,911,0,45551
8,Run_9,0.8062518080673031,578,0,28870
9,Run_10,0.8341808770983353,939,0,46951
10,Run_11,0.8242931471768289,818,0,40901
11,Run_12,0.8243085439412229,847,0,42331
12,Run_13,0.8520126157238254,2027,0,101351
13,Run_14,0.8284785410603438,1036,0,51801
14,Run_15,0.8282839163354256,1013,0,50651
15,Run_16,0.8507415406507659,1506,0,75301
16,Run_17,0.8381576929392002,1171,0,58551
17,Run_18,0.8377647747290982,1053,0,52592
18,Run_19,0.8294742786826385,1077,0,53812
19,Run_20,0.8323123955380658,1052,0,52601
20,Run_21,0.8389098489372925,1290,0,64501
21,Run_22,0.8421536945919466,1301,0,65051
22,Run_23,0.8188657275843259,809,0,40422
23,Run_24,0.8345395735938274,1204,0,60171
24,Run_25,0.8331236727056867,1240,0,62001
25,Run_26,0.8348875043829657,1104,0,55201
26,Run_27,0.8439051968289882,1592,0,79573
27,Run_28,0.8340136177163833,1148,0,57401
28,Run_29,0.833269099956877,1074,0,53701
29,Run_30,0.8187433353361157,759,0,37912
