,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8981302385557705,218,4,13621
1,Run_2,0.9366860090264346,221,18,20728
2,Run_3,0.9431334622823986,213,12,16471
3,Run_4,0.9157962604771116,227,19,19972
4,Run_5,0.9502256608639588,223,1,16518
5,Run_6,0.941972920696325,218,23,16264
6,Run_7,0.9232753062540298,222,6,19043
7,Run_8,0.9196647324306898,220,11,16621
8,Run_9,0.9203094777562864,289,5,12062
9,Run_10,0.942488716956802,220,5,18428
10,Run_11,0.932688588007737,217,18,20790
11,Run_12,0.940167633784655,218,14,17347
12,Run_13,0.9306254029658284,216,16,19320
13,Run_14,0.9307543520309476,213,9,18092
14,Run_15,0.946744036105738,224,9,21489
15,Run_16,0.9480335267569308,215,13,20601
16,Run_17,0.9341070277240492,200,13,13581
17,Run_18,0.9446808510638298,223,14,18126
18,Run_19,0.9472598323662156,225,1,16364
19,Run_20,0.939136041263701,223,12,17513
20,Run_21,0.945325596389426,219,6,16348
21,Run_22,0.9372018052869115,215,14,17782
22,Run_23,0.936041263700838,228,19,25388
23,Run_24,0.9449387491940684,217,0,17829
24,Run_25,0.9301096067053514,212,7,15773
25,Run_26,0.9402965828497744,214,20,18601
26,Run_27,0.9304964539007092,212,3,14742
27,Run_28,0.919277885235332,214,6,13610
28,Run_29,0.9230174081237912,215,16,17461
29,Run_30,0.9372018052869115,205,0,13649
